,points,1yrNetSpend,improved,MarketValue,SalaryTotal
Arsenal,89,-165900000,yes,1200000000,203121267
Aston Villa,68,-78950000,yes,709650000,136289851
Bournemouth,48,-125790000,yes,401900000,67902124
Brentford,39,-62100000,no,429030000,55337920
Brighton,48,82500000,no,524400000,76370638
Burnley,24,-107250000,unknown,273480000,48378338
Chelsea,63,-169400000,yes,1000000000,186153437
Crystal Palace,49,-67800000,yes,446580000,87148754
Everton,40,42300000,yes,391750000,96313705
Fulham,47,-19970000,no,384350000,80527912
Liverpool,82,-111300000,yes,955650000,168138586
Luton,26,-25600000,unknown,140900000,31010174
Man City,91,-138100000,yes,1460000000,233176812
Man Utd,60,-143960000,no,808350000,240465658
Newcastle,60,-103500000,no,652250000,104393737
Nottm Forest,32,-44880000,no,501350000,87338260
Sheff Utd,16,-36050000,unknown,152450000,43050870
Tottenham,66,-151400000,yes,838500000,156590606
West Ham,52,25900000,yes,487500000,123979112
Wolves,46,75200000,yes,442730000,65284578
