,points,1yrNetSpend,improved,MarketValue,SalaryTotal
Arsenal,71,-24000000,no,457850000,145990789
Aston Villa,17,-1850000,no,117950000,56084511
Bournemouth,42,-54460000,unknown,99900000,40156089
Chelsea,50,-9010000,no,553500000,150777733
Crystal Palace,42,-23400000,no,135700000,80981331
Everton,47,-37200000,same,249850000,83680266
Leicester,81,-40450000,yes,161100000,57998447
Liverpool,60,-35950000,no,375250000,141301595
Man City,66,-141030000,no,499350000,191649733
Man Utd,66,-55330000,no,439850000,185969180
Newcastle,37,-102480000,no,198000000,71185396
Norwich,34,-29010000,unknown,116900000,49260245
Southampton,63,-7400000,yes,225500000,65411013
Stoke City,51,-30450000,no,147000000,63789722
Sunderland,39,-55050000,yes,111250000,69939409
Swansea,47,-5010000,no,145800000,61261544
Tottenham,70,16250000,yes,371850000,80599687
Watford,45,-73050000,unknown,137000000,46911572
West Brom,43,-29980000,no,113100000,63144104
West Ham,62,-34190000,yes,201330000,79741981
