,points,1yrNetSpend,improved,MarketValue,SalaryTotal
Arsenal,70,-71050000,yes,659050000,195729867
Bournemouth,45,-71400000,yes,310000000,75960954
Brighton,36,-77000000,no,194350000,61474568
Burnley,40,-25000000,no,197250000,61712003
Cardiff,34,-51200000,unknown,113000000,46624959
Chelsea,72,-125550000,yes,1170000000,243427810
Crystal Palace,49,-11500000,yes,289000000,104215765
Everton,54,-71150000,yes,529100000,120579020
Fulham,26,-111150000,unknown,254250000,70607353
Huddersfield,16,-38370000,no,137450000,49650568
Leicester,52,-18800000,yes,434100000,110789049
Liverpool,97,-140880000,yes,1170000000,171857714
Man City,98,-20990000,no,1200000000,213459787
Man Utd,66,-52150000,no,797600000,212053547
Newcastle,45,-8700000,yes,244650000,65818787
Southampton,39,-36150000,yes,305400000,102999609
Tottenham,71,5350000,no,898600000,127939514
Watford,50,21740000,yes,239100000,69814485
West Ham,52,-87140000,yes,359000000,119046992
Wolves,57,-94200000,unknown,302900000,57477456
