,points,1yrNetSpend,improved,MarketValue,SalaryTotal
Arsenal,84,-162600000,yes,1000000000,157545240
Aston Villa,61,-46140000,yes,509550000,130746822
Bournemouth,39,-83100000,unknown,287200000,60172675
Brentford,59,-45650000,yes,371200000,45452852
Brighton,62,82700000,yes,529800000,53151502
Chelsea,44,-553300000,no,994950000,268344261
Crystal Palace,45,-41150000,no,323050000,83453399
Everton,36,20530000,no,413150000,102299704
Fulham,52,-50700000,unknown,295100000,73907071
Leeds,31,-49390000,no,345150000,72336547
Leicester,34,32400000,no,490700000,100399440
Liverpool,67,-65100000,no,811850000,202320608
Man City,89,7170000,no,1150000000,235886739
Man Utd,75,-219630000,yes,847750000,292702798
Newcastle,71,-170940000,yes,541600000,109351670
Nottm Forest,38,-193350000,unknown,376250000,90903328
Southampton,25,-147610000,no,419950000,73783896
Tottenham,60,-141150000,no,649100000,138575758
West Ham,40,-175050000,no,465600000,105317578
Wolves,41,-116640000,no,497650000,80281555
