,points,1yrNetSpend,improved,MarketValue,SalaryTotal
Arsenal,61,-66850000,yes,619250000,209348767
Aston Villa,55,-98580000,yes,430700000,88425865
Brighton,41,-29500000,same,290400000,71935523
Burnley,39,1200000,no,132300000,49813161
Chelsea,67,-190050000,yes,889200000,222388014
Crystal Palace,44,-2400000,yes,193850000,123505674
Everton,59,-69950000,yes,511200000,140102319
Fulham,28,-37250000,unknown,239750000,76292722
Leeds,59,-127800000,unknown,238100000,43586207
Leicester,66,-5630000,yes,510600000,108769627
Liverpool,69,-67600000,no,969650000,179549056
Man City,86,-109400000,yes,1040000000,195981895
Man Utd,74,-64450000,yes,770050000,262655164
Newcastle,45,-37970000,yes,255350000,82270684
Sheff Utd,23,-62700000,no,149850000,28266996
Southampton,43,-11000000,no,282800000,81541731
Tottenham,62,-97200000,yes,703500000,185358840
West Brom,26,-34040000,unknown,141150000,50874099
West Ham,65,-9290000,yes,334900000,93939396
Wolves,45,-8390000,no,450300000,76199892
