,points,1yrNetSpend,improved,MarketValue,SalaryTotal
Arsenal,63,9550000,no,694000000,231290120
Bournemouth,44,-34300000,no,144500000,60271225
Brighton,40,-69600000,unknown,148200000,56285159
Burnley,54,14260000,yes,169300000,45908335
Chelsea,70,-65900000,no,884250000,174979653
Crystal Palace,44,-52950000,yes,220730000,98159979
Everton,49,-76820000,no,381250000,121261096
Huddersfield,37,-50300000,unknown,106050000,36819552
Leicester,47,-33750000,yes,304250000,94719728
Liverpool,75,10850000,no,857500000,138859189
Man City,100,-226150000,yes,1010000000,194989636
Man Utd,81,-152900000,yes,849500000,234468961
Newcastle,44,-25280000,unknown,208280000,53983416
Southampton,36,37100000,no,297000000,95809345
Stoke City,33,-22560000,no,192450000,73543921
Swansea,33,7720000,no,165490000,68691397
Tottenham,77,-17200000,no,829600000,115630390
Watford,41,-54660000,yes,196000000,69832775
West Brom,31,-51450000,no,165950000,83648986
West Ham,42,7220000,no,260600000,97889945
