,points,1yrNetSpend,improved,MarketValue,SalaryTotal
Arsenal,69,-136000000,yes,613050000,149349027
Aston Villa,45,-2800000,no,487750000,107931909
Brentford,46,-37200000,unknown,273300000,36183058
Brighton,51,3800000,yes,318000000,63016147
Burnley,35,-8900000,no,137850000,51644905
Chelsea,74,37590000,yes,914500000,236961966
Crystal Palace,48,-85620000,yes,271050000,90957266
Everton,39,6500000,no,479050000,136103239
Leeds,38,-59300000,no,299450000,47248196
Leicester,52,-63600000,no,526550000,103201273
Liverpool,92,-61350000,yes,918900000,196071038
Man City,93,-45100000,yes,1000000000,213222764
Man Utd,58,-110900000,no,769150000,295449855
Newcastle,49,-130500000,yes,313900000,93185979
Norwich,22,-25150000,unknown,163200000,40817563
Southampton,40,-3050000,no,274300000,74193610
Tottenham,71,-61280000,yes,689350000,139662604
Watford,23,30650000,unknown,156200000,52833893
West Ham,56,-70270000,no,354900000,98579415
Wolves,51,-5800000,yes,376950000,79378591
