,points,1yrNetSpend,improved,MarketValue,SalaryTotal
Arsenal,56,-107150000,no,607650000,166059738
Aston Villa,35,-156500000,unknown,231700000,71260425
Bournemouth,34,-20290000,no,272180000,63283508
Brighton,41,-53240000,yes,200780000,67132022
Burnley,54,-10300000,yes,163880000,61870056
Chelsea,66,118070000,no,705850000,181173888
Crystal Palace,43,47780000,no,189330000,104077725
Everton,49,-33200000,no,420550000,129967705
Leicester,62,-15800000,yes,411100000,95331109
Liverpool,99,37600000,yes,1000000000,161987315
Man City,81,-98820000,no,1050000000,218553422
Man Utd,66,-155620000,same,670450000,230070969
Newcastle,44,-36760000,no,252480000,91059963
Norwich,21,-6620000,unknown,145330000,37373938
Sheff Utd,54,-72150000,unknown,138600000,33545018
Southampton,52,-34200000,yes,210750000,73639504
Tottenham,59,-86000000,no,806800000,148874389
Watford,34,-30600000,no,199600000,79937068
West Ham,39,-64070000,no,303600000,107920639
Wolves,59,-92600000,yes,320330000,70020506
